source,frame_id,point_id,x,y,z,doppler,snr,noise
left,102,2,-0.158,1.2364,-0.3159,-0.2976,192,618
left,103,1,-0.1975,1.2199,-0.3554,-0.2976,212,609
left,104,1,-0.1185,1.2301,-0.3554,-0.2976,180,633
left,105,1,-0.158,1.2135,-0.3949,-0.2976,194,628
left,106,1,-0.3949,0.6796,-0.3423,0,140,638
left,106,2,-0.3686,0.7517,0.1843,0,140,638
left,106,3,-0.1185,1.218,-0.3949,-0.2976,191,624
left,107,1,-0.3159,0.7753,-0.1843,-0.2976,146,637
left,107,2,-0.158,1.2135,-0.3949,-0.2976,176,631
left,108,1,-0.158,1.2,-0.4344,-0.2976,180,619
left,109,1,-0.1975,1.1941,-0.4344,-0.2976,162,625
left,110,1,-0.237,1.2415,-0.237,-0.2976,170,629
left,111,1,-0.237,1.2415,-0.237,-0.2976,182,633
left,112,1,-0.237,1.2415,-0.237,-0.2976,209,626
left,113,1,-0.237,1.2415,-0.237,-0.2976,199,636
left,114,1,-0.237,1.2415,-0.237,-0.2976,182,645
left,115,1,-0.3752,0.5085,-0.1185,0,116,658
left,115,2,-0.237,1.2484,-0.1975,-0.2976,175,638
left,116,1,-0.237,1.254,-0.158,-0.2976,159,647
left,117,1,-0.3949,0.723,-0.237,-0.2976,161,637
left,117,2,-0.2765,1.2402,-0.1975,-0.2976,186,634
left,118,1,-0.2765,1.225,-0.2765,-0.2976,194,649
left,119,1,-0.2633,1.1685,1.7772,0,125,622
left,119,2,-0.3159,1.2154,-0.2765,-0.2976,201,652
left,120,1,-0.2633,1.0129,-0.2304,-0.2976,209,645
left,121,1,-0.0724,1.5086,1.8101,0,113,613
left,121,2,-0.2962,1.0037,-0.2304,-0.2976,202,644
left,122,1,-0.2962,1.0037,-0.2304,-0.2976,187,647
left,123,1,-0.3554,1.2045,-0.2765,-0.2976,171,644
left,124,1,-0.3554,1.2045,-0.2765,-0.2976,183,635
left,125,1,-0.3554,1.2045,-0.2765,-0.2976,201,633
left,126,1,-0.3291,0.9934,-0.2304,-0.2976,181,661
left,127,1,-0.3291,1.0064,-0.1646,-0.2976,215,645
left,128,1,-0.3291,1.0005,-0.1975,-0.2976,230,633
left,129,1,-0.362,0.9951,-0.1646,-0.2976,188,663
left,130,1,-0.4739,0.4048,-0.158,0,134,640
