source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,12,4,0.999377,-0.00628991,0.0347177,-0.000164328,-0.58883,-0.0214044,9.73412,0.235898,-0.404755,1.02418,-0.00588707,-0.000220666,0.0973413,1,3.31589e-05,6.30127e-06,1.41317e-05,0.00663178,0.00126025,0.00282635,0.999377,-0.00628991,0.0347177,-0.000164328,0.0261705,0.552324,-1.09238,33.875,1,21403,8746982
right,12,5,0.999377,-0.00628991,0.0347177,-0.000164328,-0.58883,-0.0214044,9.73412,0.235898,-0.404755,1.02418,-0.00588707,-0.000220666,0.0973413,1,3.31589e-05,6.30127e-06,1.41317e-05,0.00663178,0.00126025,0.00282635,0.999377,-0.00628991,0.0347177,-0.000164328,0.0261705,0.552324,-1.09238,33.875,1,21403,8746982
left,30,1,0.999378,-0.00623893,0.0347066,-0.000159758,-0.657295,-0.0736707,9.83524,0.133414,-0.499584,1.14402,-0.00657507,-0.000746587,0.0983522,1,4.98351e-05,-1.08312e-05,5.88584e-06,0.00996702,-0.00216624,0.00117717,0.999378,-0.00623893,0.0347066,-0.000159758,0.0248126,0.549382,-1.09092,33.875,1,21404,8747082
left,30,2,0.999378,-0.00623893,0.0347066,-0.000159758,-0.657295,-0.0736707,9.83524,0.133414,-0.499584,1.14402,-0.00657507,-0.000746587,0.0983522,1,4.98351e-05,-1.08312e-05,5.88584e-06,0.00996702,-0.00216624,0.00117717,0.999378,-0.00623893,0.0347066,-0.000159758,0.0248126,0.549382,-1.09092,33.875,1,21404,8747082
left,30,3,0.999379,-0.00619612,0.0346878,-0.000149849,-0.409647,-0.00993028,9.87176,0.414242,-0.405276,1.17548,-0.00410015,-0.000107748,0.0987175,1,4.2321e-05,-1.86677e-05,1.0906e-05,0.00846421,-0.00373353,0.0021812,0.999379,-0.00619612,0.0346878,-0.000149849,0.0238959,0.550321,-1.08837,33.875,1,21405,8747182
right,10,1,0.999379,-0.00619612,0.0346878,-0.000149849,-0.409647,-0.00993028,9.87176,0.414242,-0.405276,1.17548,-0.00410015,-0.000107748,0.0987175,1,4.2321e-05,-1.86677e-05,1.0906e-05,0.00846421,-0.00373353,0.0021812,0.999379,-0.00619612,0.0346878,-0.000149849,0.0238959,0.550321,-1.08837,33.875,1,21405,8747182
right,10,2,0.999379,-0.00619612,0.0346878,-0.000149849,-0.409647,-0.00993028,9.87176,0.414242,-0.405276,1.17548,-0.00410015,-0.000107748,0.0987175,1,4.2321e-05,-1.86677e-05,1.0906e-05,0.00846421,-0.00373353,0.0021812,0.999379,-0.00619612,0.0346878,-0.000149849,0.0238959,0.550321,-1.08837,33.875,1,21405,8747182
right,10,3,0.99938,-0.00613986,0.0346745,-0.00014866,-0.676645,0.0775059,9.7081,0.136325,-0.339594,1.01265,-0.00676892,0.00076418,0.0970809,1,5.5831e-05,-1.27065e-05,2.8865e-06,0.0111662,-0.0025413,0.000577299,0.99938,-0.00613986,0.0346745,-0.00014866,0.0253483,0.552711,-1.0863,33.875,1,21406,8747282
right,10,4,0.99938,-0.00613986,0.0346745,-0.00014866,-0.676645,0.0775059,9.7081,0.136325,-0.339594,1.01265,-0.00676892,0.00076418,0.0970809,1,5.5831e-05,-1.27065e-05,2.8865e-06,0.0111662,-0.0025413,0.000577299,0.99938,-0.00613986,0.0346745,-0.00014866,0.0253483,0.552711,-1.0863,33.875,1,21406,8747282
right,10,5,0.99938,-0.00613986,0.0346745,-0.00014866,-0.676645,0.0775059,9.7081,0.136325,-0.339594,1.01265,-0.00676892,0.00076418,0.0970809,1,5.5831e-05,-1.27065e-05,2.8865e-06,0.0111662,-0.0025413,0.000577299,0.99938,-0.00613986,0.0346745,-0.00014866,0.0253483,0.552711,-1.0863,33.875,1,21406,8747282
right,10,6,0.999382,-0.00612042,0.0346218,-0.000138021,-0.411227,0.0171602,9.82454,0.315798,-0.372268,1.11918,-0.00412253,0.000167964,0.098245,1,1.80654e-05,-5.22065e-05,1.07975e-05,0.00361307,-0.0104413,0.00215951,0.999382,-0.00612042,0.0346218,-0.000138021,0.0262536,0.554672,-1.08727,33.875,1,21407,8747382
left,31,1,0.999382,-0.00612042,0.0346218,-0.000138021,-0.411227,0.0171602,9.82454,0.315798,-0.372268,1.11918,-0.00412253,0.000167964,0.098245,1,1.80654e-05,-5.22065e-05,1.07975e-05,0.00361307,-0.0104413,0.00215951,0.999382,-0.00612042,0.0346218,-0.000138021,0.0262536,0.554672,-1.08727,33.875,1,21407,8747382
left,31,2,0.999382,-0.00612042,0.0346218,-0.000138021,-0.411227,0.0171602,9.82454,0.315798,-0.372268,1.11918,-0.00412253,0.000167964,0.098245,1,1.80654e-05,-5.22065e-05,1.07975e-05,0.00361307,-0.0104413,0.00215951,0.999382,-0.00612042,0.0346218,-0.000138021,0.0262536,0.554672,-1.08727,33.875,1,21407,8747382
left,31,3,0.999382,-0.00608986,0.0346309,-0.0001146,-0.31275,-0.19485,9.84679,0.549717,-0.558932,1.13148,-0.00312542,-0.0019544,0.0984678,1,2.9193e-05,1.01063e-05,2.45703e-05,0.00583861,0.00202125,0.00491406,0.999382,-0.00608986,0.0346309,-0.0001146,0.0256818,0.554261,-1.09132,33.875,1,21408,8747482
left,31,4,0.999382,-0.00608986,0.0346309,-0.0001146,-0.31275,-0.19485,9.84679,0.549717,-0.558932,1.13148,-0.00312542,-0.0019544,0.0984678,1,2.9193e-05,1.01063e-05,2.45703e-05,0.00583861,0.00202125,0.00491406,0.999382,-0.00608986,0.0346309,-0.0001146,0.0256818,0.554261,-1.09132,33.875,1,21408,8747482
left,31,5,0.999382,-0.00608986,0.0346309,-0.0001146,-0.31275,-0.19485,9.84679,0.549717,-0.558932,1.13148,-0.00312542,-0.0019544,0.0984678,1,2.9193e-05,1.01063e-05,2.45703e-05,0.00583861,0.00202125,0.00491406,0.999382,-0.00608986,0.0346309,-0.0001146,0.0256818,0.554261,-1.09132,33.875,1,21408,8747482
right,14,1,0.999382,-0.00602588,0.0346238,-9.53967e-05,-0.692911,-0.0422106,9.68072,0.111459,-0.407193,0.966236,-0.00693018,-0.00043458,0.0968071,1,6.29092e-05,-5.62937e-06,2.12131e-05,0.0125818,-0.00112587,0.00424262,0.999382,-0.00602588,0.0346238,-9.53967e-05,0.026199,0.551339,-1.09189,33.875,1,21409,8747582
right,14,2,0.999382,-0.00602588,0.0346238,-9.53967e-05,-0.692911,-0.0422106,9.68072,0.111459,-0.407193,0.966236,-0.00693018,-0.00043458,0.0968071,1,6.29092e-05,-5.62937e-06,2.12131e-05,0.0125818,-0.00112587,0.00424262,0.999382,-0.00602588,0.0346238,-9.53967e-05,0.026199,0.551339,-1.09189,33.875,1,21409,8747582
right,14,3,0.999382,-0.00602588,0.0346238,-9.53967e-05,-0.692911,-0.0422106,9.68072,0.111459,-0.407193,0.966236,-0.00693018,-0.00043458,0.0968071,1,6.29092e-05,-5.62937e-06,2.12131e-05,0.0125818,-0.00112587,0.00424262,0.999382,-0.00602588,0.0346238,-9.53967e-05,0.026199,0.551339,-1.09189,33.875,1,21409,8747582
