source,frame_id,point_id,x,y,z,doppler,snr,noise
right,36,5,-0.2932,4.7788,-1.1727,-0.2882,141,587
right,37,1,-1.0707,2.7513,-0.5354,-0.2882,124,592
right,37,2,-0.8923,2.4836,1.4277,-0.2882,124,592
right,37,3,-2.492,4.1274,-1.0261,-0.2882,124,586
right,37,4,3.8113,3.0705,-0.5864,-0.2882,124,586
right,37,5,-5.0988,6.7727,-1.2747,-0.2882,114,499
right,38,1,-1.0707,2.6854,-0.8031,-0.2882,139,573
right,38,2,3.6648,3.1329,-1.0261,-0.2882,125,582
right,39,1,-1.0707,2.7105,-0.7138,-0.2882,117,597
right,39,2,-0.2677,2.672,1.3384,-0.2882,117,597
right,39,3,4.5443,1.7636,-0.733,-0.2882,113,589
right,39,4,-2.9318,3.7366,-1.3193,-0.2882,113,589
right,40,1,-1.9057,4.3922,-1.1727,-0.2882,123,587
right,41,1,-1.0771,2.0924,1.4914,-0.2882,133,599
right,42,1,-1.2428,1.7862,1.74,-0.2882,166,570
right,42,2,-3.0784,3.7106,-1.0261,-0.2882,128,581
right,43,1,-2.492,4.1894,-0.733,-0.5763,124,558
right,44,1,-2.3454,4.2732,-0.733,-0.5763,123,561
right,45,1,-0.9114,2.1104,1.5743,-0.2882,148,586
right,45,2,1.5169,7.0076,1.3002,-0.2882,120,497
right,45,3,-6.2843,3.6631,-0.4334,-0.2882,120,497
right,46,1,-2.6386,4.0697,-0.8795,-0.5763,125,573
right,46,2,-0.8286,2.2027,1.4914,-0.2882,140,599
right,46,3,1.3002,7.0876,1.0835,-0.2882,125,478
right,47,1,-0.9943,2.5548,-0.4971,-0.5763,121,571
right,47,2,-0.8286,2.2027,1.4914,-0.5763,121,571
right,47,3,-2.1989,4.253,-1.1727,-0.5763,113,572
right,48,1,-1.16,2.4991,-0.4143,-0.5763,125,571
right,48,2,-2.2435,3.9925,-1.1217,-0.5763,123,571
right,49,1,-0.5099,4.0606,1.2747,-0.5763,124,574
right,49,2,-2.6641,3.7644,-0.9815,-0.5763,142,576
right,49,3,1.9503,6.9369,1.0835,-0.2882,136,483
right,50,1,1.5934,1.3814,-0.3824,0,130,561
right,50,2,-0.6373,4.0425,1.2747,-0.5763,149,572
right,50,3,-2.2435,3.9925,-1.1217,-0.5763,150,556
right,51,1,-0.6373,4.0805,1.1472,-0.5763,142,590
right,51,2,1.0198,6.5288,1.8356,-0.2882,120,470
right,52,1,-1.2428,2.4715,-0.3314,-0.5763,122,578
right,52,2,-0.4971,2.1839,1.6571,-0.5763,122,578
right,52,3,-0.6373,4.1142,1.0198,-0.5763,140,578
right,52,4,-2.3837,3.9104,-1.1217,-0.5763,124,569
right,53,1,-0.6373,4.0425,1.2747,-0.5763,149,572
right,53,2,-2.1033,4.1352,-0.8413,-0.5763,144,566
right,54,1,-0.6373,4.0805,1.1472,-0.5763,138,571
right,55,1,-0.4589,1.801,-0.5163,-0.5763,119,656
right,55,2,-0.6373,4.0425,1.2747,-0.5763,135,571
right,55,3,0.58,1.3479,-0.3123,-0.2882,136,636
right,56,1,-0.4589,1.801,-0.5163,-0.5763,127,654
right,56,2,-0.7648,3.9777,1.4022,-0.5763,130,569
right,56,3,0.6246,1.3375,-0.2677,-0.2882,154,629
right,57,1,1.6571,1.2838,-0.4461,0,162,537
right,57,2,-0.4589,1.8164,-0.4589,-0.5763,128,657
right,57,3,-0.6055,3.8765,1.0899,-0.5763,154,576
right,57,4,-1.963,4.0511,-1.4022,-0.5763,116,564
right,57,5,0.6246,1.3375,-0.2677,-0.2882,161,644
right,58,1,1.5934,1.3621,-0.4461,0,145,548
right,58,2,-0.4589,1.8164,-0.4589,-0.5763,116,670
right,58,3,-0.7266,3.8556,1.0899,-0.5763,129,593
right,58,4,-2.8043,3.6611,-0.9815,-0.5763,127,581
right,58,5,0.5354,1.1464,-0.2294,-0.2882,152,648
right,59,1,1.6571,1.2838,-0.4461,0,149,530
right,59,2,-0.4589,1.8164,-0.4589,-0.5763,126,659
right,59,3,-0.7266,3.8193,1.211,-0.5763,125,585
right,59,4,0.4971,1.1704,-0.1912,-0.2882,116,654
right,60,1,1.5934,1.3621,-0.4461,0,138,552
right,60,2,-0.3569,1.613,-0.4589,-0.5763,141,654
right,60,3,-0.6055,3.8765,1.0899,-0.5763,129,586
right,60,4,0.5354,1.1534,-0.1912,-0.2882,154,637
right,61,1,1.6571,1.2599,-0.5099,0,146,549
right,61,2,-0.3569,1.613,-0.4589,-0.5763,123,664
right,61,3,2.1033,6.6701,1.0516,-0.5763,120,506
right,61,4,-5.8891,3.9108,-0.2103,-0.5763,120,506
right,61,5,0.4971,1.1635,-0.2294,-0.2882,138,656
right,62,1,1.6571,1.2599,-0.5099,0,119,541
right,62,2,0.4971,1.1635,-0.2294,-0.2882,171,636
right,62,3,2.4538,7.0001,1.1154,-0.2882,130,445
right,63,1,1.5934,1.3814,-0.3824,0,160,529
right,63,2,-2.7852,3.9355,1.0261,-0.5763,119,571
right,63,3,0.4971,1.1635,-0.2294,-0.2882,176,635
right,64,1,1.7208,1.197,-0.4461,0,150,543
right,64,2,0.5354,1.1381,-0.2677,-0.5763,168,652
right,64,3,-0.4844,3.8575,1.211,-0.5763,120,584
right,64,4,-2.9318,3.7366,1.3193,-0.5763,112,568
right,64,5,0.5354,1.1381,-0.2677,-0.2882,190,630
right,64,6,3.123,6.7283,1.1154,-0.2882,118,439
