frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
23	-0.521568	-0.127024	9.82825	0.312152	-0.564079	1.00712	-0.00521201	-0.0012707	0.0982827	1	1.60155e-06	1.84887e-05	1.43549e-05	0.00032031	0.00369775	0.00287098	0	0	0	0	0.0644064	0.515195	-0.969638	34	1	47965	4848064
24	-0.612129	-0.0967347	9.80239	0.195676	-0.535952	0.984116	-0.0061367	-0.000966492	0.0980229	1	-4.99213e-06	-7.8693e-05	1.01116e-05	-0.000998427	-0.0157386	0.00202232	0	0	0	0	0.0664675	0.518318	-0.9817	34	1	47968	4848364
25	-0.618498	-0.14995	9.80328	0.204748	-0.618625	0.980343	-0.00618449	-0.00150777	0.0980327	1	4.114e-05	2.27606e-06	1.70439e-05	0.00822799	0.000455212	0.00340878	0	0	0	0	0.0661386	0.518693	-0.975124	34	1	47972	4848764
26	-0.655367	-0.106497	9.7944	0.174272	-0.608149	0.988611	-0.00655273	-0.00106446	0.097944	1	-3.41083e-06	4.68081e-06	1.24312e-05	-0.000682166	0.000936163	0.00248623	0	0	0	0	0.0622717	0.513919	-0.979253	34	1	47975	4849064
27	-0.637692	-0.0979825	9.80663	0.178682	-0.428108	0.903618	-0.00639321	-0.000976028	0.0980652	1	-2.02793e-05	-8.317e-05	1.40717e-05	-0.00405586	-0.016634	0.00281434	0	0	0	0	0.0656779	0.5182	-0.974628	34	1	47978	4849364
28	-0.857713	-0.0234388	9.75683	-0.0710832	-0.541561	0.961478	-0.00858239	-0.000250485	0.0975678	1	8.10252e-05	-2.69747e-05	1.66794e-05	0.016205	-0.00539495	0.00333587	0	0	0	0	0.0618566	0.514357	-0.976211	34	1	47982	4849764
29	-0.725372	-0.136622	9.81059	0.0903368	-0.591423	1.00285	-0.00725413	-0.00136859	0.0981058	1	1.4154e-05	-1.70598e-06	-2.79398e-05	0.00283079	-0.000341196	-0.00558795	0	0	0	0	0.0669448	0.519281	-0.981175	34	1	47985	4850064
30	-0.862179	-0.0837956	9.75429	-0.0461474	-0.579548	0.947045	-0.00862317	-0.000850093	0.0975427	1	6.14822e-05	-7.16951e-06	8.30144e-06	0.0122964	-0.0014339	0.00166029	0	0	0	0	0.0624525	0.513305	-0.972197	34	1	47988	4850364
31	-0.77805	-0.11257	9.78433	0.0395491	-0.621812	0.94393	-0.00777802	-0.00113691	0.0978434	1	5.49609e-05	1.23071e-05	2.95434e-05	0.0109922	0.00246142	0.00590869	0	0	0	0	0.0635684	0.518351	-0.982191	34	1	47992	4850764
32	-0.701207	-0.0931624	9.78227	0.127882	-0.612268	0.956797	-0.00700768	-0.000944861	0.0978229	1	6.61833e-05	2.22658e-05	2.05498e-05	0.0132367	0.00445316	0.00410995	0	0	0	0	0.0638806	0.517159	-0.970097	34	1	47995	4851064
33	-0.750345	-0.130847	9.77787	0.050134	-0.571409	1.01791	-0.00750388	-0.00132362	0.0977785	1	7.50717e-05	-2.59726e-06	3.11777e-05	0.0150143	-0.000519453	0.00623555	0	0	0	0	0.0635642	0.517873	-0.982706	34	1	47998	4851364
34	-0.673926	-0.0763312	9.7676	0.222366	-0.389627	0.916808	-0.00673367	-0.000771389	0.0976763	1	4.06306e-05	2.85197e-05	1.04384e-05	0.00812612	0.00570394	0.00208768	0	0	0	0	0.0661467	0.518205	-0.975135	34	1	48002	4851764
35	-0.644565	-0.0203635	9.77474	0.141642	-0.489376	0.936673	-0.00645506	-0.000205605	0.0977468	1	1.0036e-05	-4.81345e-05	5.48108e-07	0.0020072	-0.0096269	0.000109622	0	0	0	0	0.0608939	0.51292	-0.977248	34	1	48005	4852064
36	-0.663985	-0.111387	9.76563	0.105976	-0.625843	0.918413	-0.00664884	-0.00112035	0.0976556	1	3.27862e-05	-4.61286e-05	5.5999e-06	0.00655723	-0.00922572	0.00111998	0	0	0	0	0.0651683	0.519189	-0.975109	34	1	48008	4852364
37	-0.830517	-0.0911254	9.74825	-0.00440462	-0.556538	0.989977	-0.00830799	-0.000917323	0.0974822	1	3.01991e-05	-1.4607e-05	1.09652e-05	0.00603982	-0.0029214	0.00219303	0	0	0	0	0.0633981	0.512828	-0.973222	34	1	48012	4852764
38	-0.511937	-0.153205	9.83037	0.295091	-0.663031	0.994393	-0.00512503	-0.00153954	0.0983033	1	3.606e-05	-2.94158e-05	3.95288e-05	0.00721199	-0.00588315	0.00790576	0	0	0	0	0.065045	0.519279	-0.980157	34	1	48015	4853064
39	-0.701862	-0.13636	9.77483	0.0955583	-0.648176	0.956701	-0.00702721	-0.00137281	0.0977475	1	4.53313e-05	-4.42636e-05	2.42519e-05	0.00906626	-0.00885272	0.00485038	0	0	0	0	0.0604948	0.512382	-0.974228	34	1	48018	4853364
40	-0.761505	-0.0761896	9.78832	0.0197514	-0.58634	0.984169	-0.00762746	-0.000772758	0.0978822	1	5.5086e-05	-6.34269e-05	5.1007e-06	0.0110172	-0.0126854	0.00102014	0	0	0	0	0.0635803	0.516897	-0.982728	34	1	48022	4853764
41	-0.705124	-0.0707074	9.79166	0.091524	-0.587008	0.985266	-0.00704951	-0.000720214	0.0979167	1	6.55875e-05	8.67994e-06	2.10254e-05	0.0131175	0.00173599	0.00420509	0	0	0	0	0.0662976	0.51424	-0.971688	34	1	48025	4854064
42	-0.732608	-0.131183	9.78558	0.0635821	-0.633655	0.974532	-0.00733134	-0.00131878	0.0978553	1	3.25959e-05	-2.74301e-05	3.88155e-05	0.00651919	-0.00548601	0.00776309	0	0	0	0	0.0636823	0.514413	-0.980259	34	1	48028	4854364
43	-0.854498	-0.0726477	9.76863	-0.0772881	-0.575089	0.966707	-0.00855782	-0.000738604	0.0976851	1	6.02079e-05	-6.58767e-05	2.13077e-05	0.0120416	-0.0131753	0.00426155	0	0	0	0	0.0661548	0.517717	-0.975146	34	1	48032	4854764
44	-0.644717	-0.0809159	9.78507	0.151429	-0.596164	0.973359	-0.00645031	-0.000819224	0.0978504	1	4.97549e-05	-1.62851e-05	2.54551e-05	0.00995097	-0.00325702	0.00509103	0	0	0	0	0.0632833	0.513875	-0.977238	34	1	48035	4855064
45	-0.757157	-0.0906368	9.77965	0.0379329	-0.604375	0.975357	-0.00757452	-0.000911539	0.0977962	1	2.63956e-05	-1.51004e-05	5.41891e-07	0.00527912	-0.00302007	0.000108378	0	0	0	0	0.0637126	0.51921	-0.975607	34	1	48038	4855364
46	-0.749159	-0.110775	9.79027	0.0456583	-0.626789	0.982412	-0.00749329	-0.00111458	0.0979025	1	3.43212e-05	-8.76373e-06	7.279e-06	0.00686423	-0.00175275	0.0014558	0	0	0	0	0.0629166	0.511386	-0.974262	34	1	48042	4855764
47	-0.617744	-0.121053	9.78794	0.168571	-0.641917	0.971057	-0.00618219	-0.00122002	0.097879	1	4.69779e-05	-2.45419e-05	2.37731e-05	0.00939558	-0.00490838	0.00475461	0	0	0	0	0.06511	0.516822	-0.979201	34	1	48045	4856064
48	-0.693883	-0.0893071	9.78601	0.0941735	-0.606856	0.973739	-0.00694238	-0.000901131	0.0978598	1	3.99798e-05	-1.8323e-05	1.68997e-05	0.00799595	-0.00366461	0.00337994	0	0	0	0	0.0628919	0.511404	-0.975271	34	1	48048	4856364
49	-0.677184	-0.1236	9.78629	0.104851	-0.640661	0.97353	-0.00677599	-0.00124766	0.0978625	1	5.82991e-05	-2.14355e-05	1.87916e-05	0.0116598	-0.00428709	0.00375831	0	0	0	0	0.0641184	0.514924	-0.981764	34	1	48052	4856764
50	-0.556578	-0.0607304	9.81145	0.241702	-0.590349	0.993258	-0.00556996	-0.000620667	0.0981142	1	6.6787e-05	-2.1437e-05	2.31231e-05	0.0133574	-0.0042874	0.00462462	0	0	0	0	0.0629009	0.513807	-0.973198	34	1	48055	4857064
51	-0.677989	-0.148191	9.7746	0.0688463	-0.662026	0.961172	-0.00679395	-0.00148135	0.097745	1	-3.83452e-06	-7.21462e-05	1.45362e-05	-0.000766904	-0.0144292	0.00290725	0	0	0	0	0.0621284	0.515952	-0.983753	34	1	48058	4857364
