frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
26,-0.715701,0.00260755,9.7998,0.0998842,-0.521418,0.995158,-0.00716311,1.55E-05,0.0979976,1,5.36E-05,-3.11E-05,5.89E-06,0.0107102,-0.0062246,0.00117718,0,0,0,0,0.0648866,0.512648,-0.991415,32.875,1,19788,2024482
27,-0.478382,0.101226,9.73346,0.347433,-0.330591,0.907018,-0.00474961,0.00103312,0.097336,1,-0.000108768,0.000176094,3.24E-05,-0.0217536,0.0352187,0.00648299,0,0,0,0,0.0663916,0.512591,-0.988898,32.875,1,19791,2024782
28,-0.464729,0.112857,9.94117,0.42715,-0.416113,1.18935,-0.00463766,0.00112644,0.0994121,1,9.82E-06,4.87E-05,1.92E-05,0.00196334,0.00973319,0.00383836,0,0,0,0,0.064964,0.510182,-0.989955,32.875,1,19794,2025082
29,-0.630459,-0.0197942,9.80409,0.244468,-0.56774,0.959775,-0.00629972,-0.000211788,0.0980412,1,7.00E-05,2.48E-05,1.03E-05,0.0139903,0.00495394,0.00205804,0,0,0,0,0.0673121,0.510686,-0.991974,32.875,1,19798,2025482
30,-0.820654,-0.0317396,9.78729,0.00648912,-0.582397,0.98742,-0.00820601,-0.000325123,0.097873,1,3.67E-05,2.61E-06,3.30E-05,0.00734174,0.000521932,0.00659197,0,0,0,0,0.0653468,0.511696,-0.992953,32.875,1,19801,2025782
31,-0.784837,-0.029079,9.7447,0.0130353,-0.582752,0.952196,-0.0078552,-0.000305631,0.0974464,1,7.37E-05,-3.52E-05,2.98E-05,0.0147495,-0.00703632,0.00596049,0,0,0,0,0.0649193,0.512143,-0.990416,32.875,1,19804,2026082
32,-0.772874,0.0139619,9.77958,0.0418758,-0.557327,0.978184,-0.00773139,0.000130664,0.0977956,1,4.42E-05,-1.35E-05,1.96E-05,0.0088472,-0.00270638,0.00392422,0,0,0,0,0.0639685,0.509251,-0.991991,32.875,1,19808,2026482
33,-0.754456,0.00206856,9.77664,0.062172,-0.561605,0.98403,-0.00754848,7.11E-06,0.0977661,1,6.76E-05,-2.00E-05,2.39E-05,0.0135138,-0.00400507,0.00478567,0,0,0,0,0.0654081,0.510206,-0.991471,32.875,1,19811,2026782
34,-0.738232,0.00533445,9.78368,0.0717591,-0.566808,0.984879,-0.00738169,4.20E-05,0.0978369,1,5.60E-05,3.24E-06,2.50E-05,0.0112049,0.000648244,0.00500378,0,0,0,0,0.0644292,0.509744,-0.992487,32.875,1,19814,2027082
35,-0.776938,-0.000104984,9.76015,0.0287743,-0.57045,0.966943,-0.00777392,-7.37E-06,0.0976012,1,3.06E-05,-2.32E-05,2.21E-05,0.00612096,-0.00464996,0.00441228,0,0,0,0,0.0654166,0.511163,-0.99044,32.875,1,19818,2027482
