"frame_id	point_id	x	y	z	doppler	snr	noise"
"10	5	10.5126	13.4452	-1.0513	0	57104	10215"
"10	6	2.6281	14.944	-7.8844	0	57104	10215"
"14	1	-1.1389	2.5992	-0.2628	0	57104	10215"
"14	2	-2.5296	2.9042	0.7227	0	57104	10215"
"14	3	3.3728	1.7468	-0.9637	0	57104	10215"
"14	4	-1.7959	14.4323	1.3469	0	57104	10215"
"14	5	5.4205	15.014	-1.4783	0	57104	10215"
"14	6	10.5126	13.4452	-1.0513	0	57104	10215"
"14	7	2.6281	14.944	-7.8844	0	57104	10215"
"15	1	-1.1389	2.5992	-0.2628	0	57104	10215"
"15	2	-2.5296	2.9042	0.7227	0	57104	10215"
"15	3	3.3728	1.7468	-0.9637	0	57104	10215"
"15	4	-1.7959	14.4323	1.3469	0	57104	10215"
"15	5	5.4205	15.014	-1.4783	0	57104	10215"
"15	6	10.5126	13.4452	-1.0513	0	57104	10215"
"15	7	2.6281	14.944	-7.8844	0	57104	10215"
"16	1	-1.0513	2.6257	-0.3504	0	57104	10215"
"16	2	-2.5296	2.9042	0.7227	0	57104	10215"
"16	3	3.3728	1.8081	-0.8432	0	57104	10215"
"16	4	-1.7959	14.4323	1.3469	0	57104	10215"
"16	5	4.9278	15.2228	-0.9856	0	57104	10215"
"16	6	10.5126	13.4452	-1.0513	0	57104	10215"
"16	7	2.6281	14.944	-7.8844	0	57104	10215"
"17	1	-0.9637	2.646	-0.438	0	57104	10215"
"17	2	-2.4091	3.0314	0.6023	0	57104	10215"
"17	3	3.4932	1.4914	-0.9637	0	57104	10215"
"17	4	-2.2449	14.3201	1.7959	0	57104	10215"
"17	5	4.9278	15.2228	-0.9856	0	57104	10215"
"17	6	10.5126	13.4452	-1.0513	0	57104	10215"
"17	7	2.6281	14.944	-7.8844	0	57104	10215"
"18	1	-0.876	2.6605	-0.5256	0	57104	10215"
"18	2	3.4932	1.5627	-0.8432	0	57104	10215"
"18	3	-2.4091	3.0314	0.6023	0	57104	10215"
"18	4	-2.2449	14.3201	1.7959	0	57104	10215"
"18	5	5.4205	15.014	-1.4783	0	57104	10215"
"18	6	10.5126	13.4452	-1.0513	0	57104	10215"
"18	7	2.6281	14.944	-7.8844	0	57104	10215"
"19	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"19	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"19	3	3.4932	1.5627	-0.8432	0	57104	10215"
"19	4	-2.5296	2.9042	0.7227	0	57104	10215"
"19	5	0.887	9.5042	-1.1827	0	57104	10215"
"19	6	-1.7959	14.3833	1.7959	0	57104	10215"
"19	7	5.4205	15.014	-1.4783	0	57104	10215"
"19	8	10.5126	13.3938	-1.5769	0	57104	10215"
"19	9	2.1025	15.2912	-7.3588	0	57104	10215"
"20	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"20	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"20	3	3.4932	1.5627	-0.8432	0	57104	10215"
"20	4	-2.4091	3.0314	0.6023	0	57104	10215"
"20	5	0.887	9.5042	-1.1827	0	57104	10215"
"20	6	-1.7959	14.3833	1.7959	0	57104	10215"
"20	7	5.4205	15.014	-1.4783	0	57104	10215"
"20	8	9.9869	13.8402	-1.0513	0	57104	10215"
"20	9	2.1025	15.2912	-7.3588	0	57104	10215"
"21	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"21	2	-2.0149	0.5896	-1.9273	0	57104	10215"
"21	3	3.4932	1.5627	-0.8432	0	57104	10215"
"21	4	-2.4091	3.0314	0.6023	0	57104	10215"
"21	5	0.887	9.5042	-1.1827	0	57104	10215"
"21	6	-1.7959	14.4323	1.3469	0	57104	10215"
"21	7	4.9278	15.2228	-0.9856	0	57104	10215"
"21	8	10.5126	13.3938	-1.5769	0	57104	10215"
"21	9	2.1025	15.2912	-7.3588	0	57104	10215"
"22	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"22	2	-2.0149	0.5896	-1.9273	0	57104	10215"
"22	3	0.887	9.5042	-1.1827	0	57104	10215"
"22	4	-1.7959	14.4323	1.3469	0	57104	10215"
"22	5	4.9278	15.2228	-0.9856	0	57104	10215"
"22	6	10.5126	13.3938	-1.5769	0	57104	10215"
"22	7	2.1025	15.2912	-7.3588	0	57104	10215"
"23	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"23	2	-0.876	2.6605	-0.5256	0	57104	10215"
"23	3	-2.1025	0.563	-1.8397	0	57104	10215"
"23	4	3.4932	1.5627	-0.8432	0	57104	10215"
"23	5	-2.4091	3.0314	0.6023	0	57104	10215"
"23	6	0.887	9.5042	-1.1827	0	57104	10215"
"23	7	-1.7959	14.4323	1.3469	0	57104	10215"
"23	8	4.9278	15.2228	-0.9856	0	57104	10215"
"23	9	9.9869	13.8402	-1.0513	0	57104	10215"
"23	10	2.1025	15.2912	-7.3588	0	57104	10215"
"24	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"24	2	-0.876	2.6605	-0.5256	0	57104	10215"
"24	3	-2.1025	0.563	-1.8397	0	57104	10215"
"24	4	0.887	9.5042	-1.1827	0	57104	10215"
"24	5	-1.7959	14.4323	1.3469	0	57104	10215"
"24	6	4.9278	15.2228	-0.9856	0	57104	10215"
"24	7	10.5126	13.3938	-1.5769	0	57104	10215"
"24	8	2.1025	15.0269	-7.8844	0	57104	10215"
"25	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"25	2	-2.0149	0.5896	-1.9273	0	57104	10215"
"25	3	0.887	9.5042	-1.1827	0	57104	10215"
"25	4	-1.7959	14.4323	1.3469	0	57104	10215"
"25	5	4.9278	15.2228	-0.9856	0	57104	10215"
"25	6	10.5126	13.3938	-1.5769	0	57104	10215"
"25	7	2.1025	15.2912	-7.3588	0	57104	10215"
"26	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"26	2	-2.0149	0.5896	-1.9273	0	57104	10215"
"26	3	3.4932	1.5627	-0.8432	0	57104	10215"
"26	4	-2.4091	3.0314	0.6023	0	57104	10215"
"26	5	0.887	9.5042	-1.1827	0	57104	10215"
"26	6	-1.7959	14.4323	1.3469	0	57104	10215"
"26	7	4.9278	15.2228	-0.9856	0	57104	10215"
"26	8	10.5126	13.3938	-1.5769	0	57104	10215"
"26	9	2.1025	15.2912	-7.3588	0	57104	10215"
"27	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"27	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"27	3	3.4932	1.5627	-0.8432	0	57104	10215"
"27	4	-2.4091	3.0314	0.6023	0	57104	10215"
"27	5	0.887	9.5042	-1.1827	0	57104	10215"
"27	6	-1.7959	14.4323	1.3469	0	57104	10215"
"27	7	5.4205	15.014	-1.4783	0	57104	10215"
"27	8	10.5126	13.3938	-1.5769	0	57104	10215"
"27	9	2.1025	15.2912	-7.3588	0	57104	10215"
"28	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"28	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"28	3	3.4932	1.5627	-0.8432	0	57104	10215"
"28	4	-2.4091	3.0314	0.6023	0	57104	10215"
"28	5	0.887	9.5042	-1.1827	0	57104	10215"
"28	6	-1.7959	14.4323	1.3469	0	57104	10215"
"28	7	4.9278	15.2228	-0.9856	0	57104	10215"
"28	8	10.5126	13.3938	-1.5769	0	57104	10215"
"28	9	2.1025	15.0269	-7.8844	0	57104	10215"
"29	1	-0.7008	2.672	-0.7008	0	57104	10215"
"29	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"29	3	3.4932	1.5627	-0.8432	0	57104	10215"
"29	4	-2.4091	3.0049	0.7227	0	57104	10215"
"29	5	0.887	9.5042	-1.1827	0	57104	10215"
"29	6	-1.7959	14.3833	1.7959	0	57104	10215"
"29	7	4.9278	15.2228	-0.9856	0	57104	10215"
"29	8	10.5126	13.3938	-1.5769	0	57104	10215"
"29	9	2.1025	15.0269	-7.8844	0	57104	10215"
"30	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"30	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"30	3	3.4932	1.5627	-0.8432	0	57104	10215"
"30	4	-2.4091	3.0049	0.7227	0	57104	10215"
"30	5	0.887	9.5042	-1.1827	0	57104	10215"
"30	6	-2.2449	14.3201	1.7959	0	57104	10215"
"30	7	4.9278	15.2228	-0.9856	0	57104	10215"
"30	8	10.5126	13.3938	-1.5769	0	57104	10215"
"30	9	2.1025	15.2912	-7.3588	0	57104	10215"
"31	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"31	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"31	3	3.4932	1.5627	-0.8432	0	57104	10215"
"31	4	-2.4091	3.0049	0.7227	0	57104	10215"
"31	5	-2.2449	14.3201	1.7959	0	57104	10215"
"31	6	4.9278	15.2228	-0.9856	0	57104	10215"
"31	7	10.5126	13.3938	-1.5769	0	57104	10215"
"31	8	2.1025	15.0269	-7.8844	0	57104	10215"
"32	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"32	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"32	3	3.4932	1.5627	-0.8432	0	57104	10215"
"32	4	-2.4091	3.0049	0.7227	0	57104	10215"
"32	5	-2.2449	14.3201	1.7959	0	57104	10215"
"32	6	4.9278	15.2228	-0.9856	0	57104	10215"
"32	7	10.5126	13.3938	-1.5769	0	57104	10215"
"32	8	2.6281	14.944	-7.8844	0	57104	10215"
"33	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"33	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"33	3	3.4932	1.5627	-0.8432	0	57104	10215"
"33	4	-2.4091	3.0049	0.7227	0	57104	10215"
"33	5	-2.2449	14.3201	1.7959	0	57104	10215"
"33	6	4.9278	15.2228	-0.9856	0	57104	10215"
"33	7	10.5126	13.3938	-1.5769	0	57104	10215"
"33	8	2.6281	14.944	-7.8844	0	57104	10215"
"34	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"34	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"34	3	3.4932	1.5627	-0.8432	0	57104	10215"
"34	4	-2.4091	3.0049	0.7227	0	57104	10215"
"34	5	0.887	9.5042	-1.1827	0	57104	10215"
"34	6	-2.2449	14.3201	1.7959	0	57104	10215"
"34	7	4.9278	15.2228	-0.9856	0	57104	10215"
"34	8	10.5126	13.3938	-1.5769	0	57104	10215"
"34	9	2.1025	15.2912	-7.3588	0	57104	10215"
"35	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"35	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"35	3	3.4932	1.5627	-0.8432	0	57104	10215"
"35	4	-2.4091	3.0049	0.7227	0	57104	10215"
"35	5	-1.7959	14.3833	1.7959	0	57104	10215"
"35	6	4.9278	15.2228	-0.9856	0	57104	10215"
"35	7	10.5126	13.3938	-1.5769	0	57104	10215"
"35	8	2.1025	15.2912	-7.3588	0	57104	10215"
"36	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"36	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"36	3	3.4932	1.5627	-0.8432	0	57104	10215"
"36	4	-2.4091	3.0049	0.7227	0	57104	10215"
"36	5	0.887	9.5042	-1.1827	0	57104	10215"
"36	6	-1.7959	14.3833	1.7959	0	57104	10215"
"36	7	4.9278	15.2228	-0.9856	0	57104	10215"
"36	8	10.5126	13.3938	-1.5769	0	57104	10215"
"36	9	2.1025	15.2912	-7.3588	0	57104	10215"
"37	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"37	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"37	3	3.4932	1.5627	-0.8432	0	57104	10215"
"37	4	-2.4091	3.0049	0.7227	0	57104	10215"
"37	5	0.887	9.5042	-1.1827	0	57104	10215"
"37	6	-1.7959	14.3833	1.7959	0	57104	10215"
"37	7	4.9278	15.2228	-0.9856	0	57104	10215"
"37	8	10.5126	13.4452	-1.0513	0	57104	10215"
"37	9	2.1025	15.2912	-7.3588	0	57104	10215"
"38	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"38	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"38	3	3.4932	1.5627	-0.8432	0	57104	10215"
"38	4	-2.4091	3.0049	0.7227	0	57104	10215"
"38	5	0.887	9.5042	-1.1827	0	57104	10215"
"38	6	-1.7959	14.3833	1.7959	0	57104	10215"
"38	7	4.9278	15.2228	-0.9856	0	57104	10215"
"38	8	10.5126	13.4452	-1.0513	0	57104	10215"
"38	9	2.1025	15.2912	-7.3588	0	57104	10215"
"39	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"39	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"39	3	3.4932	1.5627	-0.8432	0	57104	10215"
"39	4	-2.5296	2.9042	0.7227	0	57104	10215"
"39	5	-2.4091	3.0049	0.7227	0	57104	10215"
"39	6	0.887	9.5042	-1.1827	0	57104	10215"
"39	7	-1.7959	14.3833	1.7959	0	57104	10215"
"39	8	4.9278	15.2228	-0.9856	0	57104	10215"
"39	9	10.5126	13.4452	-1.0513	0	57104	10215"
"39	10	2.1025	15.2912	-7.3588	0	57104	10215"
"40	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"40	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"40	3	3.4932	1.5627	-0.8432	0	57104	10215"
"40	4	-2.4091	3.0314	0.6023	0	57104	10215"
"40	5	0.887	9.5042	-1.1827	0	57104	10215"
"40	6	-1.7959	14.3833	1.7959	0	57104	10215"
"40	7	4.9278	15.2228	-0.9856	0	57104	10215"
"40	8	10.5126	13.4452	-1.0513	0	57104	10215"
"40	9	2.1025	15.2912	-7.3588	0	57104	10215"
"41	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"41	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"41	3	3.4932	1.5627	-0.8432	0	57104	10215"
"41	4	-2.4091	3.0049	0.7227	0	57104	10215"
"41	5	0.887	9.5042	-1.1827	0	57104	10215"
"41	6	-1.7959	14.3833	1.7959	0	57104	10215"
"41	7	4.9278	15.2228	-0.9856	0	57104	10215"
"41	8	10.5126	13.3938	-1.5769	0	57104	10215"
"41	9	2.6281	14.944	-7.8844	0	57104	10215"
"42	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"42	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"42	3	3.4932	1.5627	-0.8432	0	57104	10215"
"42	4	-2.4091	3.0049	0.7227	0	57104	10215"
"42	5	0.887	9.5042	-1.1827	0	57104	10215"
"42	6	-1.7959	14.3833	1.7959	0	57104	10215"
"42	7	4.9278	15.2228	-0.9856	0	57104	10215"
"42	8	10.5126	13.4452	-1.0513	0	57104	10215"
"42	9	2.6281	14.944	-7.8844	0	57104	10215"
"43	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"43	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"43	3	3.4932	1.5627	-0.8432	0	57104	10215"
"43	4	-2.4091	3.0049	0.7227	0	57104	10215"
"43	5	0.887	9.5042	-1.1827	0	57104	10215"
"43	6	-1.7959	14.3833	1.7959	0	57104	10215"
"43	7	4.9278	15.2228	-0.9856	0	57104	10215"
"43	8	10.5126	13.3938	-1.5769	0	57104	10215"
"43	9	2.1025	15.0269	-7.8844	0	57104	10215"
"44	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"44	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"44	3	3.4932	1.5627	-0.8432	0	57104	10215"
"44	4	-2.4091	3.0314	0.6023	0	57104	10215"
"44	5	0.887	9.5042	-1.1827	0	57104	10215"
"44	6	-1.7959	14.3833	1.7959	0	57104	10215"
"44	7	5.4205	15.014	-1.4783	0	57104	10215"
"44	8	10.5126	13.4452	-1.0513	0	57104	10215"
"44	9	2.1025	15.2912	-7.3588	0	57104	10215"
"45	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"45	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"45	3	3.4932	1.5627	-0.8432	0	57104	10215"
"45	4	-2.4091	3.0049	0.7227	0	57104	10215"
"45	5	0.887	9.5042	-1.1827	0	57104	10215"
"45	6	-1.7959	14.3833	1.7959	0	57104	10215"
"45	7	5.4205	15.014	-1.4783	0	57104	10215"
"45	8	10.5126	13.3938	-1.5769	0	57104	10215"
"45	9	2.6281	14.944	-7.8844	0	57104	10215"
"46	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"46	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"46	3	3.4932	1.5627	-0.8432	0	57104	10215"
"46	4	-2.4091	3.0049	0.7227	0	57104	10215"
"46	5	0.887	9.5042	-1.1827	0	57104	10215"
"46	6	-1.7959	14.3833	1.7959	0	57104	10215"
"46	7	4.9278	15.2228	-0.9856	0	57104	10215"
"46	8	10.5126	13.3938	-1.5769	0	57104	10215"
"46	9	2.6281	14.944	-7.8844	0	57104	10215"
"47	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"47	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"47	3	3.4932	1.5627	-0.8432	0	57104	10215"
"47	4	-2.4091	3.0049	0.7227	0	57104	10215"
"47	5	0.887	9.5042	-1.1827	0	57104	10215"
"47	6	-1.7959	14.3833	1.7959	0	57104	10215"
"47	7	5.4205	15.014	-1.4783	0	57104	10215"
"47	8	10.5126	13.3938	-1.5769	0	57104	10215"
"47	9	2.6281	14.944	-7.8844	0	57104	10215"
"48	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"48	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"48	3	3.4932	1.5627	-0.8432	0	57104	10215"
"48	4	-2.4091	3.0049	0.7227	0	57104	10215"
"48	5	0.887	9.5042	-1.1827	0	57104	10215"
"48	6	-1.7959	14.3833	1.7959	0	57104	10215"
"48	7	4.9278	15.2228	-0.9856	0	57104	10215"
"48	8	10.5126	13.3938	-1.5769	0	57104	10215"
"48	9	2.1025	15.2912	-7.3588	0	57104	10215"
"49	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"49	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"49	3	3.4932	1.5627	-0.8432	0	57104	10215"
"49	4	-2.4091	3.0049	0.7227	0	57104	10215"
"49	5	-1.7959	14.3833	1.7959	0	57104	10215"
"49	6	5.4205	15.014	-1.4783	0	57104	10215"
"49	7	4.9278	15.2228	-0.9856	0	57104	10215"
"49	8	10.5126	13.3938	-1.5769	0	57104	10215"
"49	9	2.1025	15.0269	-7.8844	0	57104	10215"
"50	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"50	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"50	3	3.4932	1.5627	-0.8432	0	57104	10215"
"50	4	-2.4091	3.0049	0.7227	0	57104	10215"
"50	5	-2.2449	14.3201	1.7959	0	57104	10215"
"50	6	4.9278	15.2228	-0.9856	0	57104	10215"
"50	7	10.5126	13.4452	-1.0513	0	57104	10215"
"50	8	2.1025	15.2912	-7.3588	0	57104	10215"
"51	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"51	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"51	3	3.4932	1.5627	-0.8432	0	57104	10215"
"51	4	-2.4091	3.0049	0.7227	0	57104	10215"
"51	5	-1.7959	14.3833	1.7959	0	57104	10215"
"51	6	5.4205	15.014	-1.4783	0	57104	10215"
"51	7	10.5126	13.4452	-1.0513	0	57104	10215"
"51	8	2.1025	15.2912	-7.3588	0	57104	10215"
"52	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"52	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"52	3	3.4932	1.5627	-0.8432	0	57104	10215"
"52	4	-2.4091	3.0049	0.7227	0	57104	10215"
"52	5	-1.7959	14.3833	1.7959	0	57104	10215"
"52	6	4.9278	15.2228	-0.9856	0	57104	10215"
"52	7	10.5126	13.4452	-1.0513	0	57104	10215"
"52	8	2.6281	14.944	-7.8844	0	57104	10215"
"53	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"53	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"53	3	3.4932	1.5627	-0.8432	0	57104	10215"
"53	4	-2.4091	3.0314	0.6023	0	57104	10215"
"53	5	-1.7959	14.3833	1.7959	0	57104	10215"
"53	6	5.4205	15.014	-1.4783	0	57104	10215"
"53	7	10.5126	13.4452	-1.0513	0	57104	10215"
"53	8	2.1025	15.2912	-7.3588	0	57104	10215"
"54	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"54	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"54	3	3.4932	1.5627	-0.8432	0	57104	10215"
"54	4	-2.4091	3.0314	0.6023	0	57104	10215"
"54	5	0.887	9.5042	-1.1827	0	57104	10215"
"54	6	-1.7959	14.3833	1.7959	0	57104	10215"
"54	7	4.4897	10.6086	8.9795	0	57104	10215"
"54	8	5.4205	15.014	-1.4783	0	57104	10215"
"54	9	10.5126	13.4452	-1.0513	0	57104	10215"
"54	10	2.1025	15.2912	-7.3588	0	57104	10215"
"55	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"55	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"55	3	3.4932	1.5627	-0.8432	0	57104	10215"
"55	4	-2.4091	3.0049	0.7227	0	57104	10215"
"55	5	5.4205	15.014	-1.4783	0	57104	10215"
"55	6	10.5126	13.3938	-1.5769	0	57104	10215"
"55	7	2.1025	15.2912	-7.3588	0	57104	10215"
"55	8	-2.6281	8.1358	0	-0.2991	57104	10215"
"56	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"56	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"56	3	3.4932	1.5627	-0.8432	0	57104	10215"
"56	4	-2.4091	3.0049	0.7227	0	57104	10215"
"56	5	0.887	9.5042	-1.1827	0	57104	10215"
"56	6	-2.2449	14.3201	1.7959	0	57104	10215"
"56	7	4.9278	15.2228	-0.9856	0	57104	10215"
"56	8	10.5126	13.3938	-1.5769	0	57104	10215"
"56	9	2.1025	15.2912	-7.3588	0	57104	10215"
"57	1	-0.7884	2.6691	-0.6132	0	57104	10215"
"57	2	-1.9273	0.5896	-2.0149	0	57104	10215"
"57	3	3.4932	1.5627	-0.8432	0	57104	10215"
