source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,12,6,0.999291,-0.00459005,0.0373776,-0.000183832,-0.736327,-0.0747215,9.79127,0.368592,-0.0737843,0.831671,-0.00736475,-0.000752676,0.0979126,1,2.88132e-05,-7.50088e-06,-1.2286e-05,0.00576265,-0.00150018,-0.00245721,0.999291,-0.00459005,0.0373776,-0.000183832,-0.244156,0.104711,-0.86875,35.0625,1,44159,4463032
left,30,1,0.999291,-0.00453519,0.0373711,-0.000175605,-0.746907,-0.0786237,9.79063,0.353175,-0.0811735,0.83054,-0.00747035,-0.000797057,0.0979061,1,5.44767e-05,-6.61819e-06,1.02485e-05,0.0108953,-0.00132364,0.0020497,0.999291,-0.00453519,0.0373711,-0.000175605,-0.24604,0.103734,-0.867753,35.0625,1,44160,4463132
left,30,2,0.999291,-0.00453519,0.0373711,-0.000175605,-0.746907,-0.0786237,9.79063,0.353175,-0.0811735,0.83054,-0.00747035,-0.000797057,0.0979061,1,5.44767e-05,-6.61819e-06,1.02485e-05,0.0108953,-0.00132364,0.0020497,0.999291,-0.00453519,0.0373711,-0.000175605,-0.24604,0.103734,-0.867753,35.0625,1,44160,4463132
left,30,3,0.999291,-0.00453519,0.0373711,-0.000175605,-0.746907,-0.0786237,9.79063,0.353175,-0.0811735,0.83054,-0.00747035,-0.000797057,0.0979061,1,5.44767e-05,-6.61819e-06,1.02485e-05,0.0108953,-0.00132364,0.0020497,0.999291,-0.00453519,0.0373711,-0.000175605,-0.24604,0.103734,-0.867753,35.0625,1,44160,4463132
left,30,4,0.999292,-0.00447376,0.0373549,-0.000182194,-0.74424,-0.0695387,9.77882,0.362357,-0.072457,0.816797,-0.00744556,-0.000707369,0.0977878,1,6.16276e-05,-1.61229e-05,-4.81103e-06,0.0123255,-0.00322458,-0.000962206,0.999292,-0.00447376,0.0373549,-0.000182194,-0.245139,0.105216,-0.869239,35.0625,1,44161,4463232
right,10,1,0.999292,-0.00447376,0.0373549,-0.000182194,-0.74424,-0.0695387,9.77882,0.362357,-0.072457,0.816797,-0.00744556,-0.000707369,0.0977878,1,6.16276e-05,-1.61229e-05,-4.81103e-06,0.0123255,-0.00322458,-0.000962206,0.999292,-0.00447376,0.0373549,-0.000182194,-0.245139,0.105216,-0.869239,35.0625,1,44161,4463232
right,10,2,0.999292,-0.00447376,0.0373549,-0.000182194,-0.74424,-0.0695387,9.77882,0.362357,-0.072457,0.816797,-0.00744556,-0.000707369,0.0977878,1,6.16276e-05,-1.61229e-05,-4.81103e-06,0.0123255,-0.00322458,-0.000962206,0.999292,-0.00447376,0.0373549,-0.000182194,-0.245139,0.105216,-0.869239,35.0625,1,44161,4463232
right,10,3,0.999293,-0.00442573,0.0373333,-0.000167995,-0.733439,-0.0798789,9.78172,0.373227,-0.0812531,0.822647,-0.00733856,-0.000808309,0.0978168,1,4.7464e-05,-2.14298e-05,1.597e-05,0.00949279,-0.00428597,0.003194,0.999293,-0.00442573,0.0373333,-0.000167995,-0.243711,0.106179,-0.869224,35.0625,1,44162,4463332
right,10,4,0.999293,-0.00442573,0.0373333,-0.000167995,-0.733439,-0.0798789,9.78172,0.373227,-0.0812531,0.822647,-0.00733856,-0.000808309,0.0978168,1,4.7464e-05,-2.14298e-05,1.597e-05,0.00949279,-0.00428597,0.003194,0.999293,-0.00442573,0.0373333,-0.000167995,-0.243711,0.106179,-0.869224,35.0625,1,44162,4463332
right,10,5,0.999293,-0.00442573,0.0373333,-0.000167995,-0.733439,-0.0798789,9.78172,0.373227,-0.0812531,0.822647,-0.00733856,-0.000808309,0.0978168,1,4.7464e-05,-2.14298e-05,1.597e-05,0.00949279,-0.00428597,0.003194,0.999293,-0.00442573,0.0373333,-0.000167995,-0.243711,0.106179,-0.869224,35.0625,1,44162,4463332
right,10,6,0.999293,-0.00436984,0.0373364,-0.000176395,-0.732269,-0.0627302,9.77845,0.368576,-0.0721685,0.817923,-0.00732212,-0.00063819,0.0977845,1,5.61513e-05,2.93202e-06,-6.38858e-06,0.0112303,0.000586404,-0.00127772,0.999293,-0.00436984,0.0373364,-0.000176395,-0.245184,0.105731,-0.870743,35.0625,1,44163,4463432
left,31,1,0.999293,-0.00436984,0.0373364,-0.000176395,-0.732269,-0.0627302,9.77845,0.368576,-0.0721685,0.817923,-0.00732212,-0.00063819,0.0977845,1,5.61513e-05,2.93202e-06,-6.38858e-06,0.0112303,0.000586404,-0.00127772,0.999293,-0.00436984,0.0373364,-0.000176395,-0.245184,0.105731,-0.870743,35.0625,1,44163,4463432
left,31,2,0.999293,-0.00436984,0.0373364,-0.000176395,-0.732269,-0.0627302,9.77845,0.368576,-0.0721685,0.817923,-0.00732212,-0.00063819,0.0977845,1,5.61513e-05,2.93202e-06,-6.38858e-06,0.0112303,0.000586404,-0.00127772,0.999293,-0.00436984,0.0373364,-0.000176395,-0.245184,0.105731,-0.870743,35.0625,1,44163,4463432
