frame_id,point_id,x,y,z,doppler,snr,noise
21,3,-1.1698,7.7784,-0.4679,0,211,826,1630
21,4,-3.0749,8.0598,-0.2562,0,168,845,1630
21,5,-3.5484,8.1947,2.1837,0,155,760,1630
22,1,0.1253,1.3859,-0.2089,0,304,749,1663
22,2,-4.6793,5.5628,-3.0415,0,207,828,1663
22,3,-1.1698,7.7784,-0.4679,0,207,828,1663
22,4,-3.0749,8.0598,-0.2562,0,167,845,1663
22,5,-3.5484,8.1947,2.1837,0,159,754,1663
23,1,0.1253,1.3859,-0.2089,0,304,750,1696
23,2,-4.4453,5.6215,-3.2755,0,209,827,1696
23,3,-1.1698,7.7784,-0.4679,0,209,827,1696
23,4,-3.0749,8.0598,-0.2562,0,165,847,1696
23,5,-3.5484,8.1947,2.1837,0,157,757,1696
24,1,0.1253,1.3859,-0.2089,0,305,749,1730
24,2,-4.4453,5.6215,-3.2755,0,211,828,1730
24,3,-1.1698,7.7784,-0.4679,0,211,828,1730
24,4,-3.0749,8.0598,-0.2562,0,157,855,1730
25,1,0.1253,1.3859,-0.2089,0,303,750,1763
25,2,-4.4453,5.6215,-3.2755,0,215,827,1763
25,3,-1.1698,7.7784,-0.4679,0,215,827,1763
25,4,-3.8855,7.7938,-0.5181,0,163,846,1763
25,5,-3.5484,8.1947,2.1837,0,161,760,1763
26,1,0.1253,1.3859,-0.2089,0,301,752,1797
26,2,-4.6793,5.5628,-3.0415,0,213,826,1797
26,3,-1.1698,7.7784,-0.4679,0,213,826,1797
26,4,-3.8855,7.7938,-0.5181,0,176,833,1797
26,5,-4.1891,7.7593,0,0,192,817,1797
26,6,-3.5484,8.1947,2.1837,0,158,761,1797
27,1,0.1253,1.3789,-0.2507,0,302,752,1830
27,2,0.0836,1.389,-0.2089,0,302,752,1830
27,3,-4.6793,5.5628,-3.0415,0,210,827,1830
27,4,-1.1698,7.7784,-0.4679,0,210,827,1830
27,5,-3.8855,7.8068,-0.259,0,178,828,1830
27,6,-3.8214,7.9922,2.4566,0,171,744,1830
28,1,0.1253,1.3859,-0.2089,0,301,753,1863
28,2,-4.6793,5.5628,-3.0415,0,203,833,1863
28,3,-1.1698,7.7784,-0.4679,0,203,833,1863
28,4,-4.1891,7.7593,0,0,178,830,1863
29,1,0.0836,1.389,-0.2089,0,302,751,1897
29,2,-4.6793,5.5628,-3.0415,0,211,833,1897
29,3,-1.1698,7.789,-0.234,0,211,833,1897
29,4,-3.8855,7.7938,-0.5181,0,175,834,1897
29,5,-4.1891,7.7593,0,0,190,819,1897
30,1,0.1253,1.3789,-0.2507,0,306,748,1930
30,2,0.0836,1.389,-0.2089,0,306,748,1930
30,3,-4.6793,5.6845,-2.8076,0,200,836,1930
30,4,-1.1698,7.789,-0.234,0,200,836,1930
30,5,-4.1891,7.7593,0,0,186,825,1930
30,6,-3.8214,7.9922,2.4566,0,153,764,1930
31,1,0.1253,1.3789,-0.2507,0,304,749,1963
31,2,0.0836,1.389,-0.2089,0,304,749,1963
31,3,-4.6793,5.6845,-2.8076,0,190,835,1963
31,4,-1.1698,7.789,-0.234,0,190,835,1963
31,5,-3.6264,7.9177,-0.5181,0,169,838,1963
32,1,0.1253,1.3859,-0.2089,0,303,750,1996
32,2,-4.4453,5.6215,-3.2755,0,199,838,1996
32,3,-1.1698,7.7784,-0.4679,0,199,838,1996
32,4,-3.8855,7.7938,-0.5181,0,163,847,1996
33,1,0.1253,1.3859,-0.2089,0,306,748,2030
33,2,-4.6793,5.5628,-3.0415,0,196,840,2030
33,3,-1.1698,7.7784,-0.4679,0,196,840,2030
33,4,-3.8855,7.7938,-0.5181,0,170,841,2030
34,1,0.1253,1.3789,-0.2507,0,306,748,2063
34,2,-4.6793,5.6845,-2.8076,0,195,836,2063
34,3,-1.1698,7.789,-0.234,0,195,836,2063
34,4,-3.8855,7.7938,-0.5181,0,171,838,2063
34,5,-3.2755,8.3746,1.9107,0,151,767,2063
35,1,0.1253,1.3859,-0.2089,0,302,752,2097
35,2,-4.4453,5.7515,-3.0415,0,199,832,2097
35,3,-1.1698,7.789,-0.234,0,199,832,2097
35,4,-3.3312,7.9614,0,0,153,856,2097
35,5,-3.8855,7.7938,-0.5181,0,164,846,2097
36,1,0.1253,1.3859,-0.2089,0,305,748,2130
36,2,-4.4453,5.7515,-3.0415,0,202,832,2130
36,3,-1.1698,7.789,-0.234,0,202,832,2130
36,4,-3.8855,7.8068,-0.259,0,165,841,2130
