source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,12,5,0.999135,-0.00646819,0.0410831,-0.000202587,-0.757879,-0.103724,9.78644,-0.392172,-0.0794402,0.804924,-0.00757944,-0.00104589,0.0978643,1,4.33623e-05,-3.44404e-06,1.08949e-05,0.00867246,-0.000688809,0.00217897,0.999135,-0.00646819,0.0410831,-0.000202587,0.560884,0.120413,-0.73171,34.75,1,5941,7197756
right,12,6,0.999135,-0.00646819,0.0410831,-0.000202587,-0.757879,-0.103724,9.78644,-0.392172,-0.0794402,0.804924,-0.00757944,-0.00104589,0.0978643,1,4.33623e-05,-3.44404e-06,1.08949e-05,0.00867246,-0.000688809,0.00217897,0.999135,-0.00646819,0.0410831,-0.000202587,0.560884,0.120413,-0.73171,34.75,1,5941,7197756
left,30,1,0.999135,-0.00644547,0.0410884,-0.00018342,-0.820315,-0.10932,9.7512,-0.444606,-0.110535,0.788453,-0.0082021,-0.00109784,0.097512,1,2.20277e-05,5.11497e-06,2.12695e-05,0.00440553,0.00102299,0.00425391,0.999135,-0.00644547,0.0410884,-0.00018342,0.562352,0.120383,-0.730707,34.75,1,5942,7197856
left,30,2,0.999135,-0.00644547,0.0410884,-0.00018342,-0.820315,-0.10932,9.7512,-0.444606,-0.110535,0.788453,-0.0082021,-0.00109784,0.097512,1,2.20277e-05,5.11497e-06,2.12695e-05,0.00440553,0.00102299,0.00425391,0.999135,-0.00644547,0.0410884,-0.00018342,0.562352,0.120383,-0.730707,34.75,1,5942,7197856
left,30,3,0.999135,-0.00644547,0.0410884,-0.00018342,-0.820315,-0.10932,9.7512,-0.444606,-0.110535,0.788453,-0.0082021,-0.00109784,0.097512,1,2.20277e-05,5.11497e-06,2.12695e-05,0.00440553,0.00102299,0.00425391,0.999135,-0.00644547,0.0410884,-0.00018342,0.562352,0.120383,-0.730707,34.75,1,5942,7197856
left,30,4,0.999135,-0.00641008,0.0410843,-0.000164834,-0.882497,-0.0767603,9.74173,-0.510278,-0.0711072,0.791586,-0.00882562,-0.000774721,0.0974171,1,3.46507e-05,-3.51446e-06,2.07836e-05,0.00693015,-0.000702891,0.00415672,0.999135,-0.00641008,0.0410843,-0.000164834,0.561793,0.119963,-0.73425,34.75,1,5943,7197956
right,10,1,0.999135,-0.00641008,0.0410843,-0.000164834,-0.882497,-0.0767603,9.74173,-0.510278,-0.0711072,0.791586,-0.00882562,-0.000774721,0.0974171,1,3.46507e-05,-3.51446e-06,2.07836e-05,0.00693015,-0.000702891,0.00415672,0.999135,-0.00641008,0.0410843,-0.000164834,0.561793,0.119963,-0.73425,34.75,1,5943,7197956
right,10,2,0.999135,-0.00641008,0.0410843,-0.000164834,-0.882497,-0.0767603,9.74173,-0.510278,-0.0711072,0.791586,-0.00882562,-0.000774721,0.0974171,1,3.46507e-05,-3.51446e-06,2.07836e-05,0.00693015,-0.000702891,0.00415672,0.999135,-0.00641008,0.0410843,-0.000164834,0.561793,0.119963,-0.73425,34.75,1,5943,7197956
right,10,3,0.999136,-0.00637255,0.0410785,-0.000136399,-0.894412,-0.0643731,9.79416,-0.515278,-0.0415685,0.840957,-0.00894526,-0.000651349,0.0979414,1,3.61372e-05,-5.97724e-06,3.01637e-05,0.00722744,-0.00119545,0.00603274,0.999136,-0.00637255,0.0410785,-0.000136399,0.562286,0.11995,-0.733747,34.75,1,5944,7198056
right,10,4,0.999136,-0.00637255,0.0410785,-0.000136399,-0.894412,-0.0643731,9.79416,-0.515278,-0.0415685,0.840957,-0.00894526,-0.000651349,0.0979414,1,3.61372e-05,-5.97724e-06,3.01637e-05,0.00722744,-0.00119545,0.00603274,0.999136,-0.00637255,0.0410785,-0.000136399,0.562286,0.11995,-0.733747,34.75,1,5944,7198056
