source,frame_id,point_id,x,y,z,doppler,snr,noise
right,27,3,2.492,2.5125,-0.8668,0,135,543
right,27,4,-5.3282,7.3597,-2.5239,0,146,480
right,27,5,-6.45,7.4039,0.8795,0,144,467
right,27,6,0.5864,9.6827,1.7591,0,144,467
right,28,1,0.2294,1.2176,-0.3442,0,143,663
right,28,2,0.2103,1.6378,1.6826,0,174,609
right,28,3,2.492,2.5125,-0.8668,0,120,548
right,28,4,-5.0478,7.4552,-2.8043,0,139,487
right,28,5,-6.45,7.3631,1.1727,0,137,474
right,28,6,0.8795,9.6605,1.7591,0,137,474
right,29,1,0.2677,1.2097,-0.3442,0,127,674
right,29,2,0.2103,1.6378,1.6826,0,177,607
right,29,3,2.7533,2.58,-0.8031,0,112,547
right,29,4,-5.0478,7.4552,-2.8043,0,136,485
right,29,5,-6.1568,7.61,1.1727,0,139,473
right,30,1,0.2677,1.2097,-0.3442,0,116,679
right,30,2,0.2103,1.6378,1.6826,0,162,618
right,30,3,2.3837,2.6777,-0.6501,0,148,532
right,30,4,-4.7674,7.6376,-2.8043,0,126,497
right,30,5,-6.1568,7.61,1.1727,0,144,477
right,31,1,0.2677,1.2097,-0.3442,0,129,663
right,31,2,0.1402,1.6453,1.6826,0,163,614
right,31,3,2.492,2.4725,-0.9751,0,136,539
right,31,4,-5.4493,7.827,1.434,0,152,480
right,32,1,0.2677,1.2097,-0.3442,0,116,674
right,32,2,0.2103,1.6378,1.6826,0,157,622
right,32,3,2.3837,2.649,-0.7584,0,137,538
right,32,4,-5.4493,7.9106,0.8604,-0.2882,177,465
right,33,1,0.2677,1.2097,-0.3442,0,120,667
right,33,2,0.2103,1.5626,1.7527,0,179,601
right,33,3,2.6004,2.4002,-0.8668,0,128,538
right,33,4,-5.4493,7.9366,0.5736,-0.2882,192,456
right,34,1,0.2294,1.2277,-0.3059,0,130,659
right,34,2,0.2103,1.5626,1.7527,0,172,605
right,34,3,2.6004,2.4002,-0.8668,0,121,548
right,34,4,-5.4493,7.9521,0.2868,-0.2882,181,472
right,35,1,0.2231,1.0166,-0.2549,0,125,673
right,35,2,0.2103,1.5626,1.7527,0,172,604
right,35,3,2.492,2.5474,-0.7584,0,124,536
right,35,4,-5.4493,7.9366,0.5736,-0.2882,182,481
right,36,1,0.2103,1.5626,1.7527,0,180,592
right,36,2,2.6004,2.4002,-0.8668,0,113,535
right,36,3,0.2231,1.0081,-0.2868,-0.2882,155,644
right,36,4,-5.4493,7.9521,0.2868,-0.2882,195,474
right,37,1,0.2103,1.6378,1.6826,0,171,601
right,37,2,2.167,2.8967,-0.4334,0,130,535
right,37,3,0.2231,1.0081,-0.2868,-0.2882,139,660
right,37,4,-5.4493,7.9366,0.5736,-0.2882,196,467
right,38,1,0.2103,1.5626,1.7527,0,193,581
right,38,2,0.2677,1.2097,-0.3442,-0.2882,160,638
right,38,3,-5.1625,8.0651,1.1472,-0.2882,189,467
right,39,1,0.2804,1.5515,1.7527,0,194,581
right,39,2,2.6004,2.3583,-0.9751,0,113,521
right,39,3,0.2549,1.0005,-0.2868,-0.2882,146,655
right,39,4,-5.1625,8.0651,1.1472,-0.2882,177,482
right,40,1,0.1402,1.5704,1.7527,0,193,577
right,40,2,0.2549,1.0005,-0.2868,-0.2882,155,657
right,40,3,-5.1625,8.0651,1.1472,-0.2882,194,466
