frame_id,point_id,x,y,z,doppler,snr,noise
3157,3,-1.704,9.2769,0.284,0,154,780
3,2,-1.704,9.2769,0.284,0,151,779
10,1,-1.704,9.2769,0.284,0,154,776
10,2,3.8696,1.4875,0.1248,0,150,832
15,2,-1.704,9.2769,0.284,0,150,780
18,2,3.8696,1.4875,0.1248,0,150,832
18,3,-1.704,9.2769,0.284,0,151,779
18,4,7.741,6.8192,2.9029,0,152,751
18,5,1.9352,10.4166,-1.6127,0,152,751
24,2,-1.704,9.2769,0.284,0,150,779
25,2,-1.704,9.2769,0.284,0,150,780
27,2,-1.704,9.2769,0.284,0,150,780
28,2,-1.704,9.2769,0.284,0,152,777
29,2,3.8696,1.4875,0.1248,0,150,833
29,3,-1.704,9.2769,0.284,0,153,777
30,2,3.8696,1.4875,0.1248,0,150,833
30,3,-1.704,9.2769,0.284,0,150,780
30,4,3.217,10.1119,-1.2868,0,152,761
30,5,8.3642,5.9926,2.8953,0,152,761
31,2,3.8696,1.4875,0.1248,0,150,832
31,3,-1.704,9.2769,0.284,0,153,777
32,2,3.8696,1.4875,0.1248,0,152,831
32,3,-1.704,9.2769,0.284,0,153,776
34,2,3.8696,1.4875,0.1248,0,150,832
38,2,3.8696,1.4875,0.1248,0,150,833
39,2,-1.704,9.2769,0.284,0,158,772
40,3,-1.704,9.2769,0.284,0,150,780
41,2,3.8696,1.4875,0.1248,0,150,833
41,3,-1.704,9.2769,0.284,0,154,775
43,2,3.8696,1.4875,0.1248,0,150,833
43,3,-1.704,9.2769,0.284,0,151,779
44,2,-1.704,9.2769,0.284,0,151,779
46,2,-1.704,9.2769,0.284,0,154,775
47,2,3.8696,1.4875,0.1248,0,150,832
47,3,-1.704,9.2769,0.284,0,150,779
48,2,3.8696,1.4875,0.1248,0,150,833
48,3,-1.704,9.2769,0.284,0,151,778
49,2,-1.704,9.2769,0.284,0,151,779
50,2,3.8696,1.4875,0.1248,0,151,832
50,3,-1.704,9.2769,0.284,0,150,780
